,company,paper_class
0,600709.SH,0
1,002676.SZ,0
2,603286.SH,0
3,002675.SZ,0
4,600848.SH,0
5,600397.SH,0
6,000563.SZ,0
7,000776.SZ,0
8,688333.SH,0
9,603658.SH,0
10,600696.SH,0
11,600421.SH,0
12,600199.SH,0
13,000982.SZ,0
14,300461.SZ,0
15,603429.SH,0
16,603195.SH,0
17,688037.SH,0
18,300335.SZ,0
19,300314.SZ,0
20,000583.SZ,0
21,002427.SZ,0
22,002201.SZ,0
23,300802.SZ,0
24,002188.SZ,0
25,002522.SZ,0
26,002054.SZ,0
27,600192.SH,0
28,600073.SH,0
29,600616.SH,0
30,600999.SH,0
31,002283.SZ,0
32,300489.SZ,0
33,002004.SZ,0
34,000691.SZ,0
35,002743.SZ,0
36,603585.SH,0
37,000692.SZ,0
38,603267.SH,0
39,600099.SH,0
40,600018.SH,0
41,600393.SH,0
42,002619.SZ,0
43,603580.SH,0
44,300347.SZ,0
45,600820.SH,0
46,600783.SH,0
47,300796.SZ,0
48,600532.SH,0
49,300671.SZ,0
50,002036.SZ,0
51,002028.SZ,0
52,688208.SH,0
53,601678.SH,0
54,000677.SZ,0
55,600460.SH,0
56,600177.SH,0
57,002062.SZ,0
58,000615.SZ,0
59,603238.SH,0
60,002082.SZ,0
61,600210.SH,0
62,002473.SZ,0
63,300404.SZ,0
64,600734.SH,0
65,002378.SZ,0
66,600680.SH,0
67,688005.SH,0
68,000817.SZ,0
69,300010.SZ,0
70,300342.SZ,0
71,600758.SH,0
72,600479.SH,0
73,000333.SZ,0
74,002890.SZ,0
75,002477.SZ,0
76,300501.SZ,0
77,600369.SH,0
78,603225.SH,0
79,002318.SZ,0
80,600832.SH,0
81,300612.SZ,0
82,600550.SH,0
83,000156.SZ,0
84,603639.SH,0
85,600553.SH,0
86,002217.SZ,0
87,002412.SZ,0
88,300640.SZ,0
89,002529.SZ,0
90,002774.SZ,0
91,300462.SZ,0
92,603515.SH,0
93,300442.SZ,0
94,603799.SH,0
95,002299.SZ,0
96,000926.SZ,0
97,002779.SZ,0
98,601101.SH,0
99,000868.SZ,0
100,603378.SH,0
101,600695.SH,0
102,603839.SH,0
103,002562.SZ,0
104,000822.SZ,0
105,000585.SZ,0
106,603898.SH,0
107,603302.SH,0
108,002219.SZ,0
109,002823.SZ,0
110,600038.SH,0
111,000069.SZ,0
112,002257.SZ,0
113,603730.SH,0
114,002653.SZ,0
115,000402.SZ,0
116,000971.SZ,0
117,600600.SH,0
118,300039.SZ,0
119,002670.SZ,0
120,600392.SH,0
121,600273.SH,0
122,000578.SZ,0
123,300263.SZ,0
124,300628.SZ,0
125,600517.SH,0
126,002715.SZ,0
127,600711.SH,0
128,600665.SH,0
129,600359.SH,0
130,002172.SZ,0
131,603277.SH,0
132,300517.SZ,0
133,002896.SZ,0
134,600358.SH,0
135,600624.SH,0
136,600325.SH,0
137,002561.SZ,0
138,600184.SH,0
139,300465.SZ,0
140,300653.SZ,0
141,603165.SH,0
142,600846.SH,0
143,300670.SZ,0
144,300759.SZ,0
145,002911.SZ,0
146,600749.SH,0
147,603328.SH,0
148,600079.SH,0
149,300154.SZ,0
150,603499.SH,0
151,000977.SZ,0
152,600112.SH,0
153,000673.SZ,0
154,000611.SZ,0
155,603933.SH,0
156,002150.SZ,0
157,300527.SZ,0
158,002321.SZ,0
159,000498.SZ,0
160,000736.SZ,0
161,300192.SZ,0
162,002488.SZ,0
163,603977.SH,0
164,601991.SH,0
165,000056.SZ,0
166,603358.SH,0
167,603949.SH,0
168,000688.SZ,0
169,603520.SH,0
170,600113.SH,0
171,000531.SZ,0
172,600642.SH,0
173,601188.SH,0
174,601318.SH,0
175,002191.SZ,1
176,002312.SZ,1
177,603353.SH,1
178,603978.SH,1
179,000412.SZ,1
180,002511.SZ,1
181,000769.SZ,1
182,000929.SZ,1
183,600876.SH,1
184,688169.SH,1
185,600295.SH,1
186,600249.SH,1
187,600847.SH,1
188,000068.SZ,1
189,603551.SH,1
190,603335.SH,1
191,002406.SZ,1
192,603596.SH,1
193,600339.SH,1
194,002290.SZ,1
195,600027.SH,1
196,600276.SH,1
197,603722.SH,1
198,603996.SH,1
199,300279.SZ,1
200,600388.SH,1
201,002360.SZ,1
202,300661.SZ,1
203,300122.SZ,1
204,300760.SZ,1
205,002050.SZ,1
206,300668.SZ,1
207,002065.SZ,1
208,002490.SZ,1
209,600621.SH,1
210,600108.SH,1
211,300772.SZ,1
212,000003.SZ,1
213,600997.SH,1
214,002031.SZ,1
215,300542.SZ,1
216,002810.SZ,1
217,300418.SZ,1
218,000889.SZ,1
219,002366.SZ,1
220,300120.SZ,1
221,601002.SH,1
222,002729.SZ,1
223,002167.SZ,1
224,600809.SH,1
225,002525.SZ,1
226,002636.SZ,1
227,002099.SZ,1
228,000837.SZ,1
229,002307.SZ,1
230,300578.SZ,1
231,603306.SH,1
232,300727.SZ,1
233,600545.SH,1
234,000933.SZ,1
235,600478.SH,1
236,603121.SH,1
237,000592.SZ,1
238,603028.SH,1
239,000030.SZ,1
240,603127.SH,1
241,300630.SZ,1
242,600712.SH,1
243,600761.SH,1
244,300790.SZ,1
245,600828.SH,1
246,603278.SH,1
247,002208.SZ,1
248,000996.SZ,1
249,600579.SH,1
250,600072.SH,1
251,688196.SH,1
252,600702.SH,1
253,300751.SZ,1
254,000991.SZ,1
255,300025.SZ,1
256,603186.SH,1
257,000956.SZ,1
258,600189.SH,1
259,600159.SH,1
260,000405.SZ,1
261,000406.SZ,1
262,600472.SH,1
263,600448.SH,1
264,300468.SZ,1
265,601688.SH,1
266,000863.SZ,1
267,002611.SZ,1
268,000932.SZ,1
269,300807.SZ,1
270,600130.SH,1
271,000600.SZ,1
272,000660.SZ,1
273,002450.SZ,1
274,002265.SZ,1
275,600350.SH,1
276,600657.SH,1
277,600206.SH,1
278,002599.SZ,1
279,002063.SZ,1
280,603579.SH,1
281,002515.SZ,1
282,300080.SZ,1
283,300601.SZ,1
284,600059.SH,1
285,002532.SZ,1
286,001979.SZ,1
287,688002.SH,1
288,600095.SH,1
289,601216.SH,1
290,000836.SZ,1
291,603001.SH,1
292,000037.SZ,1
293,002860.SZ,1
294,300147.SZ,1
295,603105.SH,1
296,603222.SH,1
297,600926.SH,1
298,600678.SH,1
299,600512.SH,1
300,600866.SH,1
301,600520.SH,1
302,603323.SH,1
303,002087.SZ,1
304,000549.SZ,1
305,603937.SH,1
306,601777.SH,1
307,000827.SZ,1
308,601229.SH,1
309,600728.SH,1
310,688123.SH,1
311,600185.SH,1
312,300798.SZ,1
313,002220.SZ,1
314,603023.SH,1
315,600466.SH,1
316,600400.SH,1
317,601200.SH,1
318,000876.SZ,1
319,600748.SH,1
320,600747.SH,1
321,002147.SZ,1
322,000566.SZ,1
323,000990.SZ,1
324,600986.SH,1
325,002635.SZ,1
326,600593.SH,1
327,300046.SZ,1
328,002026.SZ,1
329,600971.SH,1
330,600138.SH,1
331,600539.SH,1
332,600570.SH,1
333,603630.SH,1
334,600083.SH,1
335,002809.SZ,1
336,600491.SH,1
337,600132.SH,1
338,600627.SH,1
339,600356.SH,1
340,300535.SZ,1
341,600834.SH,1
342,300528.SZ,1
343,300009.SZ,1
344,600217.SH,1
345,300663.SZ,1
346,000803.SZ,1
347,000985.SZ,1
348,600006.SH,1
349,002785.SZ,2
350,601162.SH,2
351,000508.SZ,2
352,300778.SZ,2
353,000567.SZ,2
354,600548.SH,2
355,002679.SZ,2
356,002717.SZ,2
357,002142.SZ,2
358,601618.SH,2
359,601001.SH,2
360,600788.SH,2
361,002916.SZ,2
362,300326.SZ,2
363,002475.SZ,2
364,300379.SZ,2
365,600674.SH,2
366,300485.SZ,2
367,002329.SZ,2
368,603507.SH,2
369,002863.SZ,2
370,600307.SH,2
371,002819.SZ,2
372,002125.SZ,2
373,603086.SH,2
374,002361.SZ,2
375,002866.SZ,2
376,600643.SH,2
377,600017.SH,2
378,002712.SZ,2
379,002828.SZ,2
380,002935.SZ,2
381,603801.SH,2
382,000650.SZ,2
383,603687.SH,2
384,002289.SZ,2
385,002014.SZ,2
386,002657.SZ,2
387,600889.SH,2
388,002643.SZ,2
389,300522.SZ,2
390,600070.SH,2
391,002387.SZ,2
392,300294.SZ,2
393,600767.SH,2
394,600844.SH,2
395,601333.SH,2
396,600626.SH,2
397,002793.SZ,2
398,603196.SH,2
399,603728.SH,2
400,000519.SZ,2
401,300757.SZ,2
402,002211.SZ,2
403,002843.SZ,2
404,000895.SZ,2
405,603488.SH,2
406,603819.SH,2
407,002113.SZ,2
408,002138.SZ,2
409,300585.SZ,2
410,002214.SZ,2
411,603788.SH,2
412,002110.SZ,2
413,601368.SH,2
414,600429.SH,2
415,600582.SH,2
416,000661.SZ,2
417,000710.SZ,2
418,000516.SZ,2
419,002029.SZ,2
420,603297.SH,2
421,601211.SH,2
422,300691.SZ,2
423,688025.SH,2
424,300771.SZ,2
425,300775.SZ,2
426,002348.SZ,2
427,002374.SZ,2
428,002198.SZ,2
429,002443.SZ,2
430,601799.SH,2
431,000952.SZ,2
432,300168.SZ,2
433,300607.SZ,2
434,300699.SZ,2
435,300361.SZ,2
436,000425.SZ,2
437,600697.SH,2
438,600619.SH,2
439,603169.SH,2
440,000532.SZ,2
441,002326.SZ,2
442,000571.SZ,2
443,002385.SZ,2
444,300767.SZ,2
445,600338.SH,2
446,603329.SH,2
447,300100.SZ,2
448,603969.SH,2
449,600854.SH,2
450,002203.SZ,2
451,000880.SZ,2
452,002568.SZ,2
453,300739.SZ,2
454,600780.SH,2
455,600908.SH,2
456,603288.SH,2
457,002485.SZ,2
458,600658.SH,2
459,002314.SZ,2
460,600126.SH,2
461,002133.SZ,2
462,000594.SZ,2
463,300128.SZ,2
464,002716.SZ,2
465,300145.SZ,2
466,600127.SH,2
467,600461.SH,2
468,600096.SH,2
469,002501.SZ,2
470,603266.SH,2
471,002891.SZ,2
472,601816.SH,2
473,002229.SZ,2
474,002602.SZ,2
475,603786.SH,2
476,300231.SZ,2
477,600234.SH,2
478,000828.SZ,2
479,002179.SZ,2
480,000832.SZ,2
481,603693.SH,2
482,002963.SZ,2
483,300245.SZ,2
484,300502.SZ,2
485,600098.SH,2
486,002936.SZ,2
487,000953.SZ,2
488,600158.SH,2
489,300752.SZ,2
490,002009.SZ,2
491,000739.SZ,2
492,002650.SZ,2
493,600543.SH,2
494,000835.SZ,2
495,000017.SZ,2
496,600675.SH,2
497,300622.SZ,2
498,600156.SH,2
499,600868.SH,2
500,300171.SZ,2
501,600482.SH,2
502,600063.SH,2
503,600114.SH,2
504,300274.SZ,2
505,300303.SZ,2
506,002019.SZ,2
507,000638.SZ,2
508,000598.SZ,2
509,603156.SH,2
510,603303.SH,2
511,300346.SZ,3
512,300395.SZ,3
513,603337.SH,3
514,600275.SH,3
515,300076.SZ,3
516,600076.SH,3
517,300198.SZ,3
518,000023.SZ,3
519,002505.SZ,3
520,002240.SZ,3
521,300343.SZ,3
522,603058.SH,3
523,601107.SH,3
524,600315.SH,3
525,603779.SH,3
526,002169.SZ,3
527,600101.SH,3
528,603696.SH,3
529,300126.SZ,3
530,600187.SH,3
531,000780.SZ,3
532,002032.SZ,3
533,300243.SZ,3
534,002059.SZ,3
535,600030.SH,3
536,600468.SH,3
537,600961.SH,3
538,600605.SH,3
539,300151.SZ,3
540,300768.SZ,3
541,002613.SZ,3
542,300541.SZ,3
543,600335.SH,3
544,002379.SZ,3
545,600370.SH,3
546,603890.SH,3
547,002044.SZ,3
548,002060.SZ,3
549,600239.SH,3
550,603617.SH,3
551,002068.SZ,3
552,600236.SH,3
553,600377.SH,3
554,300293.SZ,3
555,600631.SH,3
556,002119.SZ,3
557,300493.SZ,3
558,000809.SZ,3
559,002668.SZ,3
560,601138.SH,3
561,300618.SZ,3
562,000689.SZ,3
563,300652.SZ,3
564,600561.SH,3
565,300605.SZ,3
566,002747.SZ,3
567,002442.SZ,3
568,603388.SH,3
569,600207.SH,3
570,000031.SZ,3
571,601127.SH,3
572,603320.SH,3
573,000662.SZ,3
574,600977.SH,3
575,000768.SZ,3
576,300307.SZ,3
577,000949.SZ,3
578,002821.SZ,3
579,600717.SH,3
580,002703.SZ,3
581,603279.SH,3
582,603626.SH,3
583,002506.SZ,3
584,600173.SH,3
585,002570.SZ,3
586,300199.SZ,3
587,600097.SH,3
588,000153.SZ,3
589,300258.SZ,3
590,600223.SH,3
591,600432.SH,3
592,603876.SH,3
593,002593.SZ,3
594,002686.SZ,3
595,600521.SH,3
596,600233.SH,3
597,300651.SZ,3
598,000587.SZ,3
599,300338.SZ,3
600,000536.SZ,3
601,603110.SH,3
602,002008.SZ,3
603,600109.SH,3
604,600157.SH,3
605,600851.SH,3
606,300191.SZ,3
607,603317.SH,3
608,600396.SH,3
609,002721.SZ,3
610,002585.SZ,3
611,600462.SH,3
612,000010.SZ,3
613,002363.SZ,3
614,600966.SH,3
615,603895.SH,3
616,600585.SH,3
617,688029.SH,3
618,688366.SH,3
619,600617.SH,3
620,002661.SZ,3
621,600395.SH,3
622,000766.SZ,3
623,300519.SZ,3
624,601086.SH,3
625,603080.SH,3
626,300765.SZ,3
627,000560.SZ,3
628,002072.SZ,3
629,000866.SZ,3
630,688068.SH,3
631,000623.SZ,3
632,000059.SZ,3
633,603189.SH,3
634,603737.SH,3
635,603330.SH,3
636,600789.SH,3
637,300816.SZ,3
638,002684.SZ,3
639,000652.SZ,3
640,300669.SZ,3
641,002165.SZ,3
642,300503.SZ,3
643,300581.SZ,3
644,601155.SH,3
645,601901.SH,3
646,000616.SZ,3
647,603326.SH,3
648,300112.SZ,3
649,603586.SH,3
650,600225.SH,3
651,002336.SZ,3
652,600255.SH,3
653,603991.SH,3
654,600459.SH,3
655,603021.SH,3
656,002284.SZ,3
657,002160.SZ,4
658,600252.SH,4
659,601636.SH,4
660,300410.SZ,4
661,600744.SH,4
662,300672.SZ,4
663,600567.SH,4
664,002156.SZ,4
665,601099.SH,4
666,600248.SH,4
667,600768.SH,4
668,600438.SH,4
669,300059.SZ,4
670,002970.SZ,4
671,002344.SZ,4
672,603198.SH,4
673,000759.SZ,4
674,300057.SZ,4
675,300650.SZ,4
676,000408.SZ,4
677,000712.SZ,4
678,300660.SZ,4
679,000727.SZ,4
680,300597.SZ,4
681,300580.SZ,4
682,300497.SZ,4
683,600292.SH,4
684,002773.SZ,4
685,600435.SH,4
686,600179.SH,4
687,600493.SH,4
688,600884.SH,4
689,300233.SZ,4
690,000657.SZ,4
691,600146.SH,4
692,300086.SZ,4
693,300141.SZ,4
694,300005.SZ,4
695,300432.SZ,4
696,603138.SH,4
697,601700.SH,4
698,300143.SZ,4
699,000562.SZ,4
700,000573.SZ,4
701,300049.SZ,4
702,002362.SZ,4
703,603088.SH,4
704,600415.SH,4
705,688266.SH,4
706,002923.SZ,4
707,603985.SH,4
708,600612.SH,4
709,300720.SZ,4
710,603997.SH,4
711,600714.SH,4
712,000554.SZ,4
713,603181.SH,4
714,603810.SH,4
715,600790.SH,4
716,000851.SZ,4
717,600291.SH,4
718,300224.SZ,4
719,603041.SH,4
720,600260.SH,4
721,000790.SZ,4
722,600980.SH,4
723,000024.SZ,4
724,600864.SH,4
725,002567.SZ,4
726,300512.SZ,4
727,600218.SH,4
728,002922.SZ,4
729,600160.SH,4
730,300201.SZ,4
731,600615.SH,4
732,603327.SH,4
733,002458.SZ,4
734,002330.SZ,4
735,300715.SZ,4
736,000966.SZ,4
737,600970.SH,4
738,600503.SH,4
739,300474.SZ,4
740,000520.SZ,4
741,600297.SH,4
742,002718.SZ,4
743,600566.SH,4
744,002816.SZ,4
745,601177.SH,4
746,300733.SZ,4
747,300244.SZ,4
748,601869.SH,4
749,600606.SH,4
750,300369.SZ,4
751,002216.SZ,4
752,600247.SH,4
753,300029.SZ,4
754,603179.SH,4
755,002267.SZ,4
756,603260.SH,4
757,000848.SZ,4
758,001914.SZ,4
759,002163.SZ,4
760,300048.SZ,4
761,600238.SH,4
762,300675.SZ,4
763,300423.SZ,4
764,600529.SH,4
765,000404.SZ,4
766,300646.SZ,4
767,000957.SZ,4
768,000411.SZ,4
769,300773.SZ,4
770,000602.SZ,4
771,600992.SH,4
772,601299.SH,4
773,002373.SZ,4
774,601117.SH,4
775,600736.SH,4
776,600220.SH,4
777,002887.SZ,4
778,002883.SZ,4
779,000813.SZ,4
780,600771.SH,4
781,600835.SH,4
782,603056.SH,4
783,000697.SZ,4
784,002855.SZ,4
785,002350.SZ,4
786,300810.SZ,4
787,000965.SZ,4
788,300516.SZ,4
789,600071.SH,4
790,000892.SZ,4
791,601512.SH,4
792,600823.SH,4
793,002132.SZ,4
794,601828.SH,4
795,600635.SH,4
796,000548.SZ,4
797,000897.SZ,4
798,002696.SZ,5
799,600116.SH,5
800,600168.SH,5
801,601375.SH,5
802,000613.SZ,5
803,002012.SZ,5
804,002497.SZ,5
805,601003.SH,5
806,300176.SZ,5
807,002259.SZ,5
808,600676.SH,5
809,002134.SZ,5
810,002548.SZ,5
811,002926.SZ,5
812,600348.SH,5
813,300536.SZ,5
814,002227.SZ,5
815,600715.SH,5
816,000670.SZ,5
817,603037.SH,5
818,600005.SH,5
819,688086.SH,5
820,000401.SZ,5
821,002508.SZ,5
822,600896.SH,5
823,601118.SH,5
824,600376.SH,5
825,300795.SZ,5
826,002518.SZ,5
827,300643.SZ,5
828,600692.SH,5
829,000656.SZ,5
830,603897.SH,5
831,002250.SZ,5
832,002658.SZ,5
833,002749.SZ,5
834,002233.SZ,5
835,000700.SZ,5
836,002106.SZ,5
837,600878.SH,5
838,603389.SH,5
839,603229.SH,5
840,601069.SH,5
841,600645.SH,5
842,000931.SZ,5
843,600001.SH,5
844,000338.SZ,5
845,300781.SZ,5
846,000422.SZ,5
847,002801.SZ,5
848,603039.SH,5
849,000002.SZ,5
850,002202.SZ,5
851,000703.SZ,5
852,002728.SZ,5
853,000590.SZ,5
854,000157.SZ,5
855,603192.SH,5
856,300327.SZ,5
857,603583.SH,5
858,603709.SH,5
859,000733.SZ,5
860,603605.SH,5
861,002382.SZ,5
862,300737.SZ,5
863,603813.SH,5
864,300450.SZ,5
865,002772.SZ,5
866,600267.SH,5
867,002680.SZ,5
868,300223.SZ,5
869,600215.SH,5
870,002140.SZ,5
